"id";"poste";"localisation";"domaine";"contrat";"entreprise";"salaire";"niveau_etude";"competences"
"71";"Développeur JAVA JEE";"Marrakech";"Informatique / Multimédia / Internet";"A discuter";"Ihospitality";"A discuter";"Bac plus 3";"java,javascript,angular,jee,oracle"
"72";"Développeur Full Stack - JAVA/JEE - React-Native";"Rabat";"Informatique / Multimédia / Internet";"CDI";"Talents RH";"A discuter";"Bac plus 5";"java,angular,shell,jee,node"
"73";"Développeur WooCommerce";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"Natésis";"A discuter";"Pas important";"wordpress"
"74";"Ingénieur développement";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"IT Conseil";"A discuter";"Bac plus 5";"c#"
"75";"Ingenieur developpement web / bac+5";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"ANONYME";"A discuter";"Bac plus 5";"java,javascript,html,ajax"
"76";"Développeurs JAVA/J2EE";"Kénitra";"Informatique / Multimédia / Internet";"A discuter";"ASATECHNO CONSULTING";"A discuter";"Bac plus 5";"java,react,scala,j2ee"
"77";"Développeur Informatique Full Stack";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"DEV CONNECT";"Plus de 10 000 DH";"Bac plus 5";"java,javascript,jquery,css,php,laravel,swift,objective-c,angular,ajax,bootstrap,wordpress"
"78";"Développeur Informatique Site Web";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"DEV CONNECT";"8 000 - 10 000 DH";"Bac plus 4";"java,javascript,jquery,css,php,laravel,angular,ajax,bootstrap,wordpress"
"79";"Développeur Web";"Agadir";"Informatique / Multimédia / Internet";"A discuter";"PROWEBTECH";"A discuter";"Pas important";"jquery,react,html,css,php,vue,angular,wordpress"
"80";"Développeurs web pour un Pré embauche";"Casablanca";"Industrie / Ingénierie / Energie";"A discuter";"MABORNE";"A discuter";"Bac plus 2";"java,javascript,css,php,laravel"
"81";"Développeur sur Flutter";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Geb Analysis";"A discuter";"Bac plus 3";"swift,flutter"
"82";"Agent Marketing";"Tanger";"Marketing / Communication / Publicité / Rp";"CDI";"CMH";"3 000 - 4 000 DH";"Bac plus 2";"html"
